# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 10 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
1.4108514747e+02    5.5307341158e-05
1.4081879694e+02    5.5154690809e-05
1.4055345020e+02    5.5057437525e-05
1.4028910156e+02    5.5013055960e-05
1.4002574542e+02    5.5019325446e-05
1.3976337618e+02    5.5074302045e-05
1.3950198833e+02    5.5176294239e-05
1.3924157635e+02    5.5323841800e-05
1.3898213479e+02    5.5515697455e-05
1.3872365825e+02    5.5750810992e-05
1.3846614134e+02    5.6028315546e-05
1.3820957873e+02    5.6347515807e-05
1.3795396513e+02    5.6707877950e-05
1.3769929528e+02    5.7109021110e-05
1.3744556396e+02    5.7550710253e-05
1.3719276600e+02    5.8032850319e-05
1.3694089625e+02    5.8555481541e-05
1.3668994962e+02    5.9118775831e-05
1.3643992103e+02    5.9723034189e-05
1.3619080546e+02    6.0368685058e-05
1.3594259791e+02    6.1056283595e-05
1.3569529343e+02    6.1786511813e-05
1.3544888711e+02    6.2560179588e-05
1.3520337405e+02    6.3378226501e-05
1.3495874941e+02    6.4241724542e-05
1.3471500837e+02    6.5151881647e-05
1.3447214616e+02    6.6110046128e-05
1.3423015802e+02    6.7117711984e-05
1.3398903926e+02    6.8176525166e-05
1.3374878520e+02    6.9288290815e-05
1.3350939118e+02    7.0454981553e-05
1.3327085261e+02    7.1678746880e-05
1.3303316490e+02    7.2961923776e-05
1.3279632351e+02    7.4307048593e-05
1.3256032392e+02    7.5716870350e-05
1.3232516167e+02    7.7194365565e-05
1.3209083229e+02    7.8742754763e-05
1.3185733137e+02    8.0365520831e-05
1.3162465454e+02    8.2066429416e-05
1.3139279742e+02    8.3849551571e-05
1.3116175570e+02    8.5719288911e-05
1.3093152508e+02    8.7680401549e-05
1.3070210131e+02    8.9738039143e-05
1.3047348013e+02    9.1897775418e-05
1.3024565737e+02    9.4165646575e-05
1.3001862882e+02    9.6548194079e-05
1.2979239036e+02    9.9052512360e-05
1.2956693786e+02    1.0168630206e-04
1.2934226724e+02    1.0445792955e-04
1.2911837443e+02    1.0737649354e-04
1.2889525540e+02    1.1045189972e-04
1.2867290615e+02    1.1369494456e-04
1.2845132270e+02    1.1711740955e-04
1.2823050110e+02    1.2073216724e-04
1.2801043743e+02    1.2455330097e-04
1.2779112780e+02    1.2859624012e-04
1.2757256833e+02    1.3287791326e-04
1.2735475518e+02    1.3741692184e-04
1.2713768454e+02    1.4223373774e-04
1.2692135261e+02    1.4735092806e-04
1.2670575563e+02    1.5279341195e-04
1.2649088987e+02    1.5858875415e-04
1.2627675161e+02    1.6476750161e-04
1.2606333715e+02    1.7136357022e-04
1.2585064285e+02    1.7841469021e-04
1.2563866505e+02    1.8596292024e-04
1.2542740014e+02    1.9405524229e-04
1.2521684454e+02    2.0274425176e-04
1.2500699467e+02    2.1208895984e-04
1.2479784700e+02    2.2215572906e-04
1.2458939800e+02    2.3301936646e-04
1.2438164419e+02    2.4476440454e-04
1.2417458208e+02    2.5748660576e-04
1.2396820823e+02    2.7129473398e-04
1.2376251922e+02    2.8631264509e-04
1.2355751164e+02    3.0268176002e-04
1.2335318211e+02    3.2056399584e-04
1.2314952727e+02    3.4014524635e-04
1.2294654378e+02    3.6163952099e-04
1.2274422834e+02    3.8529387161e-04
1.2254257765e+02    4.1139425880e-04
1.2234158843e+02    4.4027253314e-04
1.2214125745e+02    4.7231472827e-04
1.2194158146e+02    5.0797087730e-04
1.2174255727e+02    5.4776656302e-04
1.2154418168e+02    5.9231637765e-04
1.2134645154e+02    6.4233937223e-04
1.2114936369e+02    6.9867636974e-04
1.2095291501e+02    7.6230861883e-04
1.2075710241e+02    8.3437654528e-04
1.2056192278e+02    9.1619610539e-04
1.2036737308e+02    1.0092681363e-03
1.2017345025e+02    1.1152726613e-03
1.1998015127e+02    1.2360347112e-03
1.1978747313e+02    1.3734401807e-03
1.1959541285e+02    1.5292691553e-03
1.1940396746e+02    1.7049009647e-03
1.1921313402e+02    1.9008343431e-03
1.1902290959e+02    2.1159693073e-03
1.1883329126e+02    2.3466386304e-03
1.1864427614e+02    2.5854925634e-03
1.1845586135e+02    2.8205609910e-03
1.1826804405e+02    3.0351075359e-03
1.1808082139e+02    3.2090579261e-03
1.1789419056e+02    3.3224693817e-03
1.1770814875e+02    3.3604680381e-03
1.1752269317e+02    3.3177554077e-03
1.1733782107e+02    3.2003686918e-03
1.1715352969e+02    3.0236814255e-03
1.1696981630e+02    2.8077913096e-03
1.1678667818e+02    2.5726347997e-03
1.1660411264e+02    2.3346519001e-03
1.1642211700e+02    2.1054853952e-03
1.1624068859e+02    1.8922042082e-03
1.1605982476e+02    1.6982691655e-03
1.1587952289e+02    1.5246455405e-03
1.1569978036e+02    1.3707562030e-03
1.1552059456e+02    1.2351826013e-03
1.1534196292e+02    1.1161303515e-03
1.1516388288e+02    1.0117138856e-03
1.1498635187e+02    9.2011630472e-04
1.1480936736e+02    8.3966928988e-04
1.1463292684e+02    7.6888480291e-04
1.1445702780e+02    7.0645942429e-04
1.1428166775e+02    6.5126432893e-04
1.1410684421e+02    6.0232865778e-04
1.1393255474e+02    5.5882071319e-04
1.1375879688e+02    5.2002936724e-04
1.1358556821e+02    4.8534686390e-04
1.1341286631e+02    4.5425350309e-04
1.1324068879e+02    4.2630431394e-04
1.1306903326e+02    4.0111762803e-04
1.1289789734e+02    3.7836537278e-04
1.1272727869e+02    3.5776487398e-04
1.1255717496e+02    3.3907195636e-04
1.1238758382e+02    3.2207514660e-04
1.1221850297e+02    3.0659080520e-04
1.1204993010e+02    2.9245903671e-04
1.1188186292e+02    2.7954025063e-04
1.1171429916e+02    2.6771226513e-04
1.1154723658e+02    2.5686786343e-04
1.1138067291e+02    2.4691272807e-04
1.1121460592e+02    2.3776369064e-04
1.1104903341e+02    2.2934724543e-04
1.1088395316e+02    2.2159828413e-04
1.1071936299e+02    2.1445901619e-04
1.1055526071e+02    2.0787804533e-04
