# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
2.3377592882e+00    1.5627089922e-04
2.3376394064e+00    1.4649323851e-04
2.3375195369e+00    1.3759778489e-04
2.3373996798e+00    1.2948254510e-04
2.3372798349e+00    1.2205971397e-04
2.3371600023e+00    1.1525339241e-04
2.3370401819e+00    1.0899771827e-04
2.3369203739e+00    1.0323532783e-04
2.3368005782e+00    9.7916083299e-05
2.3366807947e+00    9.2996015413e-05
2.3365610235e+00    8.8436440946e-05
2.3364412646e+00    8.4203223066e-05
2.3363215180e+00    8.0266148892e-05
2.3362017836e+00    7.6598403632e-05
2.3360820615e+00    7.3176124658e-05
2.3359623517e+00    6.9978022016e-05
2.3358426541e+00    6.6985054343e-05
2.3357229688e+00    6.4180151205e-05
2.3356032958e+00    6.1547974426e-05
2.3354836351e+00    5.9074712317e-05
2.3353639866e+00    5.6747901752e-05
2.3352443503e+00    5.4556273863e-05
2.3351247263e+00    5.2489619877e-05
2.3350051146e+00    5.0538674140e-05
2.3348855151e+00    4.8695011879e-05
2.3347659279e+00    4.6950959615e-05
2.3346463529e+00    4.5299516484e-05
2.3345267902e+00    4.3734284972e-05
2.3344072397e+00    4.2249409813e-05
2.3342877015e+00    4.0839523955e-05
2.3341681755e+00    3.9499700702e-05
2.3340486618e+00    3.8225411218e-05
2.3339291602e+00    3.7012486730e-05
2.3338096710e+00    3.5857084849e-05
2.3336901939e+00    3.4755659502e-05
2.3335707291e+00    3.3704934038e-05
2.3334512765e+00    3.2701877136e-05
2.3333318362e+00    3.1743681191e-05
2.3332124080e+00    3.0827742879e-05
2.3330929921e+00    2.9951645668e-05
2.3329735884e+00    2.9113144046e-05
2.3328541970e+00    2.8310149288e-05
2.3327348177e+00    2.7540716576e-05
2.3326154507e+00    2.6803033348e-05
2.3324960959e+00    2.6095408725e-05
2.3323767533e+00    2.5416263921e-05
2.3322574229e+00    2.4764123517e-05
2.3321381048e+00    2.4137607529e-05
2.3320187988e+00    2.3535424171e-05
2.3318995050e+00    2.3090939979e-05
2.3317802235e+00    2.2535096975e-05
2.3316609541e+00    2.2000194214e-05
2.3315416970e+00    2.1485232495e-05
2.3314224520e+00    2.0989273031e-05
2.3313032193e+00    2.0511433213e-05
2.3311839987e+00    2.0050882722e-05
2.3310647903e+00    1.9606839953e-05
2.3309455942e+00    1.9178568736e-05
2.3308264102e+00    1.8765375309e-05
2.3307072384e+00    1.8366605535e-05
2.3305880788e+00    1.7981642337e-05
2.3304689313e+00    1.7609903329e-05
2.3303497961e+00    1.7250838634e-05
2.3302306730e+00    1.6903928868e-05
2.3301115621e+00    1.6568683274e-05
2.3299924634e+00    1.6244638003e-05
2.3298733769e+00    1.5931354522e-05
2.3297543025e+00    1.5628418141e-05
2.3296352403e+00    1.5335436654e-05
2.3295161903e+00    1.5052039076e-05
2.3293971524e+00    1.4777874487e-05
2.3292781267e+00    1.4512610947e-05
2.3291591132e+00    1.4718189808e-05
2.3290401118e+00    1.4474030968e-05
2.3289211226e+00    1.4237939960e-05
2.3288021455e+00    1.4009652663e-05
2.3286831806e+00    1.3788919722e-05
2.3285642279e+00    1.3575505884e-05
2.3284452873e+00    1.3369189405e-05
2.3283263589e+00    1.3169761506e-05
2.3282074426e+00    1.2977025880e-05
2.3280885384e+00    1.2790798248e-05
2.3279696464e+00    1.2610905968e-05
2.3278507666e+00    1.2437187688e-05
2.3277318988e+00    1.2269493041e-05
2.3276130432e+00    1.2107682394e-05
2.3274941998e+00    1.1951626639e-05
2.3273753685e+00    1.1801207026e-05
2.3272565493e+00    1.1656315051e-05
2.3271377423e+00    1.1516852384e-05
2.3270189474e+00    1.1382730850e-05
2.3269001646e+00    1.1253872464e-05
2.3267813939e+00    1.1130209516e-05
2.3266626354e+00    1.1011684716e-05
2.3265438890e+00    1.0898251400e-05
2.3264251547e+00    1.0789873804e-05
2.3263064325e+00    1.0686527412e-05
2.3261877224e+00    1.0588199378e-05
2.3260690245e+00    1.0494889043e-05
2.3259503386e+00    1.0406608544e-05
2.3258316649e+00    1.0323383535e-05
2.3257130033e+00    1.0245254026e-05
2.3255943538e+00    1.0172275364e-05
2.3254757164e+00    1.0104519366e-05
